LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version
192,Queensboro Hill,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
193,Queensbridge/Ravenswood,Queens,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
194,Randalls Island,Manhattan,Yellow Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
195,Red Hook,Brooklyn,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
196,Rego Park,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
197,Richmond Hill,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
198,Ridgewood,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
199,Rikers Island,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
200,Riverdale/North Riverdale/Fieldston,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
201,Rockaway Park,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
202,Roosevelt Island,Manhattan,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
203,Rosedale,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
204,Rossville/Woodrow,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
205,Saint Albans,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
206,Saint George/New Brighton,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
207,Saint Michaels Cemetery/Woodside,Queens,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
208,Schuylerville/Edgewater Park,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
209,Seaport,Manhattan,Yellow Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
210,Sheepshead Bay,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
211,SoHo,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
