target_side,formula,panel_rows_total,panel_rows_model_ready,panel_rows_dropped,zones_total,zones_model_ready,zones_without_model_ready_rows,r_squared,adj_r_squared,nobs
pickup,avg_tip_rate ~ C(year_month) + C(Borough) + C(service_zone) + tract_coverage_share + is_partial_coverage_zone + is_water_park_special_proxy + is_source_missing_special_area + avg_trip_distance + avg_fare_per_mile + avg_passenger_count + share_airport_fee + share_airport_ratecode + share_negotiated_fare + share_special_ratecode + share_peak_hour_pickup + share_night_trip + share_weekend_trip + share_commute_hour_trip,9360,8644,716,260,259,1,0.9661345826039642,0.965913729759644,8644.0
dropoff,avg_tip_rate ~ C(year_month) + C(Borough) + C(service_zone) + tract_coverage_share + is_partial_coverage_zone + is_water_park_special_proxy + is_source_missing_special_area + avg_trip_distance + avg_fare_per_mile + avg_passenger_count + share_airport_fee + share_airport_ratecode + share_negotiated_fare + share_special_ratecode + share_peak_hour_pickup + share_night_trip + share_weekend_trip + share_commute_hour_trip,9360,8989,371,260,259,1,0.9425742337344573,0.9422141975823222,8989.0
