LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version,pickup_raw_longrun_tip_rate,pickup_residualized_tip_rate,pickup_tree_leaf_id,dropoff_raw_longrun_tip_rate,dropoff_residualized_tip_rate,dropoff_tree_leaf_id
32,Bronxdale,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0042991113356889,0.0111236199068185,3,0.0623255505913503,-0.0004151329438351,4
33,Brooklyn Heights,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.1743480292029718,0.0047955532491018,1,0.2163474648574348,0.0033065470900447,3
34,Brooklyn Navy Yard,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.1683280572134269,-0.0003384851964439,1,0.1930263563394554,-0.0204693372021025,3
35,Brownsville,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0014778210542072,-0.0019411235831196,2,0.0312042580223402,-0.0129447163418241,1
36,Bushwick North,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0912124120323224,0.0026186972344497,1,0.1896838355221856,-0.0008939806118285,4
37,Bushwick South,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0457110511567096,-0.0044981158504962,1,0.1746069402876756,-0.0029836269761087,4
38,Cambria Heights,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0142012160791419,0.0191348012991247,5,0.0974760116689008,-0.0363625980130643,5
39,Canarsie,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0041546952431404,0.0067394630839824,2,0.0553624794000676,-0.0092951529649028,2
40,Carroll Gardens,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.1900285277486542,-0.0015002431915417,1,0.2239262592966716,0.0138953410655555,4
41,Central Harlem,Manhattan,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.1836459513063032,-0.013323299460283,1,0.2113802686682491,-0.004613279785637,3
42,Central Harlem North,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0802226450102872,-0.0162966535520362,1,0.1760521956186113,-0.0121801338389795,3
43,Central Park,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2562021259467967,-0.0011756804933447,1,0.2606967533356126,-0.0014591585460418,3
44,Charleston/Tottenville,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0105510576937648,-0.0334589903656766,4,0.111157099526004,0.0229081380327031,5
45,Chinatown,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2257375325000793,-0.0091532846174222,1,0.2274123902453194,-0.010390677188007,3
46,City Island,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0132440418318957,0.0253515328478948,4,0.1394992549980711,0.0399309126751454,5
47,Claremont/Bathgate,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0053043651699265,-0.0046662008329546,1,0.0460668213568942,-0.0086058487172847,1
48,Clinton East,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.261091454369285,0.0061226390096568,1,0.2540664972018069,0.0025343314924407,3
49,Clinton Hill,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.0551530352395692,-0.0026250831214869,1,0.193543638254016,-8.44250182569694e-05,3
50,Clinton West,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2500187596814164,-0.0003433675504267,1,0.2458343060801559,-0.0064270016801496,3
51,Co-Op City,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0019611665048898,0.0106226102158106,5,0.0410379370959157,0.0099898746607107,5
52,Cobble Hill,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2052589204938867,0.0165316546555383,1,0.220717161362148,0.0067691800391858,4
53,College Point,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0786106409882795,0.0006579495222694,1,0.1726813306145506,0.0043660657803267,4
54,Columbia Street,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.1682880368706679,0.0082269287120133,1,0.222181903856321,0.0125572014471363,4
55,Coney Island,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0052180509871479,0.0319706663784865,3,0.0501568268614106,0.0240653074023929,4
