Slice,N,Overtime mean,Playoff mean,Knicks won,pW (market) mean,Point spread mean,Score diff mean,Score diff sd,pred_close,pred_win,pred_loss
pooled,144,0.0763888888888889,0.14583333333333334,0.625,0.6754118055555556,4.8125,5.506944444444445,14.463842803357918,38,92,14
2022-23,46,0.10869565217391304,0.10869565217391304,0.5869565217391305,0.6301021739130434,3.391304347826087,4.608695652173913,12.556500327841823,18,24,4
2023-24,48,0.041666666666666664,0.14583333333333334,0.6666666666666666,0.65823125,4.458333333333333,5.604166666666667,14.680627824903585,12,29,7
2024-25,50,0.08,0.18,0.62,0.7335899999999999,6.46,6.24,16.05292267877137,8,39,3
